Thumb,Index,Middle,Ring,Pinky,X,Y,Label
11,94,96,94,65,480,-872,Ã
11,95,96,93,60,472,-888,Ã
6,96,96,93,63,456,-872,Ã
4,98,96,95,65,480,-888,Ã
4,98,96,99,65,480,-888,Ã
3,98,96,95,67,464,-864,Ã
3,98,96,103,65,472,-888,Ã
2,96,96,104,56,488,-888,Ã
1,94,95,100,63,480,-880,Ã
2,98,96,95,67,456,-872,Ã
2,99,95,96,56,448,-880,Ã
2,98,96,97,65,472,-888,Ã
2,96,96,118,60,472,-880,Ã
2,95,95,123,58,504,-872,Ã
2,96,95,123,65,480,-888,Ã
3,98,96,124,67,464,-880,Ã
3,99,96,125,67,496,-872,Ã
3,96,96,124,67,480,-880,Ã
3,96,96,123,63,472,-888,Ã
6,94,95,122,60,480,-872,Ã
11,96,95,123,65,456,-872,Ã
14,99,96,123,69,472,-888,Ã
15,98,95,124,65,488,-880,Ã
15,98,96,125,65,480,-888,Ã
15,97,95,124,60,512,-864,Ã
15,94,95,97,63,488,-888,Ã
15,96,95,96,63,464,-864,Ã
15,95,96,95,67,488,-880,Ã
15,98,96,95,65,456,-872,Ã
15,96,96,95,63,488,-872,Ã
14,94,95,94,60,496,-856,Ã
13,96,95,95,60,464,-872,Ã
14,97,96,95,63,480,-888,Ã
13,97,96,94,67,448,-872,Ã
14,98,96,95,65,488,-872,Ã
13,97,95,95,60,496,-896,Ã
13,95,95,93,60,480,-880,Ã
14,94,96,94,60,488,-888,Ã
13,96,96,95,67,472,-872,Ã
13,94,95,95,67,464,-880,Ã
13,98,96,94,65,464,-888,Ã
13,97,96,95,60,504,-872,Ã
13,94,95,95,60,472,-880,Ã
12,94,96,97,63,472,-872,Ã
13,98,96,104,67,488,-872,Ã
13,96,96,104,65,464,-880,Ã
12,97,96,109,60,472,-872,Ã
13,95,96,113,63,456,-856,Ã
13,94,95,113,60,472,-880,Ã
13,96,95,112,65,472,-888,Ã
13,98,96,113,63,464,-888,Ã
13,98,96,116,67,464,-888,Ã
13,95,95,115,63,464,-880,Ã
12,95,95,117,63,472,-880,Ã
13,95,94,120,60,496,-888,Ã
13,96,96,122,65,456,-864,Ã
13,96,95,98,65,480,-888,Ã
13,98,95,127,67,464,-888,Ã
12,97,95,135,60,440,-864,Ã
13,94,94,109,63,472,-872,Ã
12,95,95,109,58,496,-888,Ã
13,96,96,113,67,464,-888,Ã
13,96,94,104,67,464,-888,Ã
12,97,96,94,67,456,-872,Ã
13,96,95,93,63,472,-880,Ã
12,94,94,93,58,488,-864,Ã
12,94,95,95,63,464,-888,Ã
13,97,96,99,69,472,-880,Ã
13,94,96,113,65,472,-880,Ã
13,97,95,111,65,464,-880,Ã
13,94,94,112,58,448,-880,Ã
12,94,95,116,60,480,-880,Ã
12,96,95,117,65,488,-872,Ã
13,98,95,118,67,480,-880,Ã
12,97,95,118,65,472,-896,Ã
13,95,95,122,63,464,-888,Ã
12,94,95,120,60,448,-864,Ã
12,94,95,129,60,504,-864,Ã
12,97,96,134,67,480,-880,Ã
12,97,95,137,65,496,-880,Ã
12,97,95,128,63,464,-888,Ã
13,94,95,132,63,480,-864,Ã
12,95,95,126,58,464,-856,Ã
12,95,95,126,63,464,-872,Ã
13,97,96,125,67,480,-880,Ã
12,96,95,111,67,480,-880,Ã
12,96,94,107,63,480,-880,Ã
12,94,94,106,58,480,-872,Ã
12,94,95,106,58,472,-872,Ã
12,96,95,105,65,472,-880,Ã
12,96,95,105,67,472,-888,Ã
12,96,95,105,63,472,-872,Ã
12,93,94,106,63,496,-872,Ã
12,94,94,105,56,464,-880,Ã
12,94,94,104,58,504,-864,Ã
12,96,96,117,67,488,-856,Ã
13,97,94,96,67,488,-888,Ã
12,95,95,96,63,464,-872,Ã
12,95,94,95,63,456,-864,Ã
12,95,94,95,60,488,-888,Ã
12,95,96,97,63,464,-872,Ã
13,98,95,97,65,488,-864,Ã
12,95,95,99,67,480,-864,Ã
13,96,95,103,63,472,-872,Ã
12,94,94,136,58,464,-872,Ã
12,94,95,93,60,456,-880,Ã
12,95,94,95,67,504,-864,Ã
13,96,94,93,67,472,-872,Ã
13,96,96,93,63,464,-880,Ã
12,97,95,93,63,472,-864,Ã
11,94,95,93,60,464,-880,Ã
11,95,95,93,60,472,-880,Ã
12,97,95,94,67,488,-880,Ã
13,95,95,94,67,488,-880,Ã
13,96,95,93,60,448,-864,Ã
12,94,95,93,58,456,-872,Ã
12,93,94,93,60,440,-864,Ã
12,95,96,94,65,464,-872,Ã
12,96,96,93,60,472,-880,Ã
13,98,95,94,67,440,-864,Ã
12,97,94,93,67,472,-880,Ã
12,94,94,93,58,440,-872,Ã
12,94,95,93,60,464,-872,Ã
12,96,96,94,67,464,-864,Ã
12,98,95,94,60,472,-888,Ã
12,95,95,94,63,480,-880,Ã
12,95,95,93,60,472,-880,Ã
11,92,94,94,58,480,-888,Ã
12,95,95,95,65,464,-880,Ã
12,97,95,95,65,480,-864,Ã
12,96,94,95,67,480,-864,Ã
12,94,95,95,65,480,-880,Ã
12,94,94,94,56,480,-880,Ã
11,94,95,95,58,464,-872,Ã
12,97,95,97,67,456,-864,Ã
12,96,94,98,63,472,-856,Ã
12,96,95,99,60,488,-856,Ã
12,95,95,99,60,480,-880,Ã
12,94,94,99,56,464,-872,Ã
13,95,95,101,63,448,-872,Ã
12,98,95,104,63,472,-896,Ã
11,98,95,103,60,488,-856,Ã
11,93,93,100,65,480,-880,Ã
12,94,94,100,60,472,-880,Ã
13,94,94,102,58,496,-888,Ã
12,97,95,105,69,504,-888,Ã
11,97,96,117,67,448,-896,Ã
13,95,95,93,67,504,-880,Ã
13,95,94,91,56,488,-920,Ã
12,92,94,91,54,480,-864,Ã
